,name,handedness,height,weight,avg,HR,H/W
580,Tony Cloninger,R,72,210,0.192,11,0.34 
581,Jim Gosger,L,71,185,0.226,30,0.38 
582,Chuck Harrison,R,70,185,0.238,17,0.38 
583,Mike Ivie,R,75,205,0.269,81,0.37 
586,Marvell Wynne,L,71,175,0.247,40,0.41 
587,Dusty Baker,R,74,183,0.278,242,0.40 
588,Tucker Ashford,R,73,195,0.218,6,0.37 
589,Ned Yost,R,73,190,0.212,16,0.38 
590,Bob Stinson,B,71,180,0.25,33,0.39 
592,Gaylord Perry,R,76,205,0.131,6,0.37 
593,Dave Marshall,L,73,182,0.246,16,0.40 
594,Mickey Hatcher,R,74,200,0.28,38,0.37 
595,Roger Repoz,L,75,190,0.224,82,0.39 
597,John Orsino,R,75,215,0.249,40,0.35 
599,Johnny Briggs,L,73,190,0.253,139,0.38 
601,Dave Hostetler,R,76,215,0.229,37,0.35 
602,Bob Jones,L,74,195,0.221,20,0.38 
603,Keith Hernandez,L,72,180,0.296,162,0.40 
606,Willie Upshaw,L,72,185,0.262,123,0.39 
607,Dick Green,R,70,180,0.24,80,0.39 
608,Dane Iorg,L,72,180,0.276,14,0.40 
609,Richie Hebner,L,73,195,0.276,203,0.37 
610,Fran Healy,R,77,220,0.25,20,0.35 
611,Doc Edwards,R,74,215,0.238,15,0.34 
612,Sandy Alomar,B,69,140,0.245,13,0.49 
613,Joe Strain,R,70,169,0.25,1,0.41 
614,Gene Richards,L,72,175,0.29,26,0.41 
615,Buddy Bell,R,73,180,0.279,201,0.41 
616,Al Woods,L,75,190,0.271,35,0.39 
617,Rudy Law,L,73,165,0.271,18,0.44 
619,Jody Davis,R,76,192,0.245,127,0.40 
620,Mike Edwards,R,70,154,0.25,2,0.45 
623,Deron Johnson,R,74,200,0.244,245,0.37 
625,Don Wert,R,70,162,0.242,77,0.43 
626,Mike Fiore,L,72,175,0.227,13,0.41 
627,Miguel Dilone,B,72,160,0.265,6,0.45 
628,Greg Luzinski,R,73,220,0.276,307,0.33 
629,Bobby Tolan,L,71,170,0.265,86,0.42 
632,Ron Woods,R,70,168,0.233,26,0.42 
633,Tony Horton,R,75,210,0.268,76,0.36 
634,Randy Hundley,R,71,170,0.236,82,0.42 
635,Jose Tartabull,L,71,165,0.261,2,0.43 
636,Ben Oglivie,L,74,160,0.273,235,0.46 
638,Bob Johnson,R,70,175,0.272,44,0.40 
639,Don Buford,B,67,160,0.264,93,0.42 
640,Duane Kuiper,L,72,175,0.271,1,0.41 
641,Brant Alyea,R,75,215,0.247,38,0.35 
642,Jerry Narron,L,75,205,0.211,21,0.37 
643,Lou Johnson,R,71,170,0.258,48,0.42 
644,Ken Retzer,L,72,185,0.264,14,0.39 
645,Mike Brown,R,74,195,0.265,23,0.38 
647,Greg Walker,L,75,205,0.26,113,0.37 
648,Terry Harper,R,76,195,0.253,36,0.39 
649,Jerry Royster,R,72,165,0.249,40,0.44 
652,Barry Bonnell,R,75,190,0.272,56,0.39 
653,Tom Seaver,R,73,195,0.154,12,0.37 
654,Jerry Martin,R,73,195,0.251,85,0.37 
655,Bill Stein,R,70,170,0.267,44,0.41 
656,Joel Youngblood,R,72,180,0.265,80,0.40 
657,Reggie Jackson,L,72,195,0.262,563,0.37 
658,Sonny Jackson,L,69,150,0.251,7,0.46 
660,Rodney Scott,B,72,160,0.236,3,0.45 
661,Rich Coggins,L,68,170,0.265,12,0.40 
662,Phil Gagliano,R,73,180,0.238,14,0.41 
663,Jerry McNertney,R,72,180,0.237,27,0.40 
664,Mitchell Page,L,74,205,0.266,72,0.36 
665,Kiko Garcia,R,71,180,0.239,12,0.39 
666,Larry Milbourne,B,72,161,0.254,11,0.45 
667,Bill Sudakis,B,73,190,0.234,59,0.38 
669,Domingo Ramos,R,70,154,0.24,8,0.45 
670,Ron Oester,B,74,185,0.265,42,0.40 
671,Glenn Adams,L,73,180,0.28,34,0.41 
673,Joe Morgan,L,67,160,0.271,268,0.42 
674,R.J. Reynolds,B,72,190,0.267,35,0.38 
676,Lee Thomas,L,74,195,0.255,106,0.38 
677,Ray Fosse,R,74,215,0.256,61,0.34 
678,Paul Popovich,B,72,175,0.233,14,0.41 
679,John Stephenson,L,71,180,0.216,12,0.39 
680,Doug Clemens,L,72,180,0.229,12,0.40 
682,Orlando Mercado,R,72,180,0.199,7,0.40 
683,Charley Smith,R,73,170,0.239,69,0.43 
685,Buddy Biancalana,B,71,160,0.205,6,0.44 
687,Bob Uecker,R,73,190,0.2,14,0.38 
688,Felix Torres,R,71,165,0.254,27,0.43 
689,Steve Braun,L,70,180,0.271,52,0.39 
690,Ray Knight,R,73,185,0.271,84,0.39 
691,Ty Cline,L,72,170,0.238,6,0.42 
692,Thad Bosley,L,75,175,0.272,20,0.43 
693,Bobby Grich,R,74,180,0.266,224,0.41 
694,Jimmie Hall,L,72,175,0.254,121,0.41 
695,John Boccabella,R,73,195,0.219,26,0.37 
696,Brock Davis,L,70,160,0.26,1,0.44 
698,Curt Blefary,L,74,195,0.237,112,0.38 
701,Mack Jones,L,73,180,0.252,133,0.41 
702,Buddy Bradford,R,71,170,0.226,52,0.42 
703,Hosken Powell,L,73,175,0.259,17,0.42 
705,Dave Stapleton,R,73,178,0.271,41,0.41 
706,Gary Ward,R,74,195,0.276,130,0.38 
707,Jim Lonborg,R,77,200,0.136,3,0.39 
708,Joe Lis,R,72,175,0.233,32,0.41 
709,Dan Meyer,L,71,180,0.253,86,0.39 
710,Jim Holt,L,72,180,0.265,19,0.40 
712,Larry Herndon,R,75,190,0.274,107,0.39 
716,Wallace Johnson,B,72,173,0.255,5,0.42 
718,Eddie Leon,R,72,170,0.236,24,0.42 
720,Jim Wohlford,R,71,175,0.26,21,0.41 
721,J.R. Richard,R,80,222,0.168,10,0.36 
722,Bill Voss,L,74,160,0.227,19,0.46 
723,Keith Moreland,R,72,190,0.279,121,0.38 
725,Alex Johnson,R,72,205,0.288,78,0.35 
726,Wayne Krenchicki,L,73,180,0.266,15,0.41 
728,Dave Rosello,R,71,160,0.236,10,0.44 
730,Paul Schaal,R,71,165,0.244,57,0.43 
731,Tito Landrum,R,71,175,0.249,13,0.41 
732,Dave Edwards,R,72,170,0.237,14,0.42 
733,Mario Guerrero,R,70,155,0.257,7,0.45 
734,Tom Tresh,B,73,180,0.245,153,0.41 
736,Ron Roenicke,B,72,180,0.238,17,0.40 
737,Doug Griffin,R,72,160,0.245,7,0.45 
738,Steve Blass,R,72,165,0.172,1,0.44 
739,Johnnie LeMaster,R,74,165,0.222,22,0.45 
741,Nate Oliver,R,70,160,0.226,2,0.44 
742,Ray Sadecki,L,71,180,0.191,5,0.39 
743,Ken Rudolph,R,73,180,0.213,6,0.41 
744,Wayne Nordhagen,R,74,205,0.282,39,0.36 
745,Biff Pocoroba,B,70,175,0.257,21,0.40 
746,Len Matuszek,L,74,190,0.234,30,0.39 
748,Joe Lefebvre,L,70,170,0.258,31,0.41 
749,Jim Maloney,L,74,190,0.201,7,0.39 
750,Andre Robertson,R,70,155,0.251,5,0.45 
751,Jerry Zimmerman,R,74,185,0.204,3,0.40 
754,Chet Lemon,R,72,190,0.273,215,0.38 
756,Phil Mankowski,L,72,180,0.264,8,0.40 
757,Cleon Jones,R,72,185,0.281,93,0.39 
758,Joaquin Andujar,B,72,170,0.127,5,0.42 
759,Mike Lum,L,72,180,0.247,90,0.40 
760,Johnny Grubb,L,75,175,0.278,99,0.43 
761,Curt Motton,R,68,164,0.213,25,0.41 
762,Johnny Bench,R,73,197,0.267,389,0.37 
763,Dale Berra,R,72,180,0.236,49,0.40 
765,Bob Meacham,B,73,175,0.236,8,0.42 
767,Carl Warwick,R,70,170,0.248,31,0.41 
768,Sam Bowens,R,73,188,0.223,45,0.39 
769,George Wright,B,71,180,0.245,42,0.39 
770,Luis Aguayo,R,69,173,0.236,37,0.40 
771,Hal Lanier,R,74,180,0.228,8,0.41 
773,Len Randle,B,70,169,0.257,27,0.41 
774,Greg Pryor,R,72,180,0.25,14,0.40 
775,Jim Traber,L,72,194,0.227,27,0.37 
776,Dave Nelson,R,70,160,0.244,20,0.44 
777,Lynn Jones,R,69,175,0.252,7,0.39 
778,Bryan Little,B,70,160,0.245,3,0.44 
779,Ken Suarez,R,69,175,0.227,5,0.39 
780,Rick Peters,B,69,170,0.277,2,0.41 
781,Ron Stone,L,74,185,0.241,6,0.40 
783,Tommie Agee,R,71,195,0.255,130,0.36 
784,Bob Bailey,R,73,180,0.257,189,0.41 
785,Cap Peterson,R,74,195,0.23,19,0.38 
786,Ted Uhlaender,L,74,190,0.263,36,0.39 
787,Ted Simmons,B,71,193,0.285,248,0.37 
788,Bobby Murcer,L,71,160,0.277,252,0.44 
789,Dick Tracewski,R,71,160,0.213,8,0.44 
792,Bill Nahorodny,R,74,200,0.241,25,0.37 
793,Bill Madlock,R,71,180,0.305,163,0.39 
794,Bob Boone,R,74,195,0.254,105,0.38 
796,Steve Kemp,L,72,195,0.278,130,0.37 
797,Rick Burleson,R,70,165,0.273,50,0.42 
801,Carl Taylor,R,74,200,0.266,10,0.37 
802,Terry Harmon,R,74,180,0.233,4,0.41 
803,Mike Hargrove,L,72,195,0.29,80,0.37 
805,Steve Hovley,L,70,188,0.258,8,0.37 
806,Don Leppert,R,74,220,0.229,15,0.34 
814,Lee May,R,75,195,0.267,354,0.38 
816,Sam McDowell,L,77,190,0.154,2,0.41 
817,Rick Renick,R,72,188,0.221,20,0.38 
818,Jeff Torborg,R,72,195,0.214,8,0.37 
819,Dave Campbell,R,73,180,0.213,20,0.41 
820,Pat Kelly,L,73,185,0.264,76,0.39 
821,Al Weis,B,72,160,0.219,7,0.45 
822,Jerry Turner,L,69,180,0.257,45,0.38 
823,Rick Auerbach,R,72,165,0.22,9,0.44 
825,Don Wilson,R,74,195,0.146,1,0.38 
828,Sandy Valdespino,L,68,170,0.23,7,0.40 
832,Ken Phelps,L,73,209,0.239,123,0.35 
833,Cesar Cedeno,R,74,175,0.285,199,0.42 
835,Phil Linz,R,73,180,0.235,11,0.41 
836,Manny Mota,R,70,160,0.304,31,0.44 
838,Steve Renko,R,77,230,0.215,6,0.33 
839,Rick Sofield,L,73,195,0.243,9,0.37 
842,Doug DeCinces,R,74,190,0.259,237,0.39 
843,John Castino,R,71,175,0.278,41,0.41 
844,Dave May,L,70,186,0.251,96,0.38 
845,Ron Washington,R,71,155,0.261,20,0.46 
846,Billy Grabarkewitz,R,70,165,0.236,28,0.42 
847,Willie Aikens,L,75,220,0.271,110,0.34 
848,Earl Williams,R,75,215,0.247,138,0.35 
851,Don Hahn,R,73,180,0.236,7,0.41 
852,Todd Cruz,R,72,175,0.22,34,0.41 
853,Tom Egan,R,76,218,0.2,22,0.35 
854,Bob Heise,R,72,175,0.247,1,0.41 
855,Tommy Harper,R,69,165,0.257,146,0.42 
856,Joe Wallis,B,71,180,0.244,16,0.39 
857,Max Alvis,R,71,185,0.247,111,0.38 
858,Rico Carty,R,75,200,0.299,204,0.38 
859,Mike Cubbage,L,72,180,0.258,34,0.40 
861,Merritt Ranew,L,71,170,0.247,8,0.42 
862,Lyman Bostock,L,73,180,0.311,23,0.41 
863,Damaso Garcia,R,73,165,0.283,36,0.44 
866,Roy Howell,L,73,190,0.261,80,0.38 
867,Boog Powell,L,76,230,0.266,339,0.33 
869,Sonny Siebert,R,75,190,0.173,12,0.39 
871,Bobby Darwin,R,74,190,0.251,83,0.39 
873,Dan Driessen,L,71,187,0.267,153,0.38 
874,Bruce Miller,R,73,185,0.246,1,0.39 
875,Bob Bailor,R,71,170,0.264,9,0.42 
876,Tommy Helms,R,70,165,0.269,34,0.42 
877,Tony Armas,R,71,182,0.252,251,0.39 
878,Willie Horton,R,71,209,0.273,325,0.34 
879,Lou Piniella,R,72,182,0.291,102,0.40 
880,Butch Hobson,R,73,193,0.248,98,0.38 
881,John Wathan,R,74,205,0.262,21,0.36 
882,Hal King,L,73,200,0.214,24,0.37 
883,Mike Krukow,R,77,205,0.193,5,0.38 
884,Andres Mora,R,72,180,0.223,27,0.40 
885,Barry Foote,R,75,205,0.23,57,0.37 
886,Ed Ott,L,70,190,0.259,33,0.37 
887,Alan Wiggins,B,74,160,0.259,5,0.46 
888,Ron Clark,R,70,175,0.189,5,0.40 
891,Julio Gotay,R,72,180,0.26,6,0.40 
892,Gary Alexander,R,74,195,0.23,55,0.38 
893,Andre Thornton,R,75,200,0.254,253,0.38 
894,Bob Oliver,R,75,205,0.256,94,0.37 
900,Bob Robertson,R,73,195,0.242,115,0.37 
903,Ollie Brown,R,74,178,0.265,102,0.42 
905,Frank Quilici,R,73,170,0.214,5,0.43 
907,Joe Pepitone,L,74,185,0.258,219,0.40 
908,Steve Barber,L,72,195,0.115,5,0.37 
910,Norm Miller,L,70,185,0.238,24,0.38 
913,Bob Chance,L,74,196,0.261,24,0.38 
914,Julio Cruz,B,69,165,0.237,23,0.42 
915,Bill Sample,R,69,175,0.272,46,0.39 
918,Craig Kusick,R,75,210,0.235,46,0.36 
919,Rudy Meoli,L,69,165,0.212,2,0.42 
920,Ruppert Jones,L,70,170,0.25,147,0.41 
921,Glenn Hoffman,R,73,175,0.242,23,0.42 
922,Russ Gibson,R,73,195,0.228,8,0.37 
924,Terry Francona,L,73,190,0.274,16,0.38 
925,John Bateman,R,75,210,0.23,81,0.36 
926,Luis Pujols,R,74,175,0.193,6,0.42 
927,Joe Gaines,R,73,190,0.241,21,0.38 
928,Doug Rader,R,74,208,0.251,155,0.36 
929,Mickey Stanley,R,73,185,0.248,117,0.39 
932,Phil Bradley,R,72,185,0.286,78,0.39 
933,Winston Llenas,R,70,165,0.23,3,0.42 
934,Charlie Moore,R,71,180,0.261,36,0.39 
935,Ralph Garr,L,71,185,0.306,75,0.38 
936,Tommy John,R,75,180,0.157,5,0.42 
937,Bruce Benedict,R,73,175,0.242,18,0.42 
938,John Ellis,R,74,225,0.262,69,0.33 
939,Wes Parker,B,73,180,0.267,64,0.41 
941,David Green,R,75,170,0.268,31,0.44 
942,Reid Nichols,R,71,165,0.266,22,0.43 
943,Rick Reichardt,R,75,210,0.261,116,0.36 
944,Luis Tiant,R,72,180,0.164,5,0.40 
946,Broderick Perkins,L,70,180,0.271,8,0.39 
947,Leon Roberts,R,75,200,0.267,78,0.38 
948,Ray Burris,R,77,200,0.151,1,0.39 
949,Len Gabrielson,L,76,210,0.253,37,0.36 
950,Johnny Edwards,L,76,220,0.242,81,0.35 
952,Tom Grieve,R,74,190,0.249,65,0.39 
954,Bob Forsch,R,76,200,0.213,12,0.38 
956,Danny Cater,R,72,170,0.276,66,0.42 
957,Bill Schroeder,R,74,200,0.24,61,0.37 
958,Clay Dalrymple,L,72,190,0.233,55,0.38 
959,Carlos May,L,71,200,0.274,90,0.36 
960,Reggie Smith,B,72,180,0.287,314,0.40 
963,Davey Johnson,R,73,170,0.261,136,0.43 
964,Ellis Valentine,R,76,205,0.278,123,0.37 
965,Roy White,B,70,160,0.271,160,0.44 
966,Mike Brumley,L,70,195,0.229,5,0.36 
967,Al Luplow,L,70,175,0.235,33,0.40 
969,Dick Allen,R,71,187,0.292,351,0.38 
970,Doug Ault,R,75,200,0.236,17,0.38 
971,Mark Wagner,R,72,165,0.243,3,0.44 
973,Willie Stargell,L,74,188,0.282,475,0.39 
974,Steve Carlton,L,76,210,0.201,13,0.36 
975,Jake Wood,R,73,163,0.25,35,0.45 
976,Del Unser,L,73,180,0.258,87,0.41 
977,Bob Brower,R,71,185,0.242,17,0.38 
978,Ray Culp,R,72,200,0.123,1,0.36 
979,Ivan Murrell,R,74,195,0.236,33,0.38 
980,Lee Mazzilli,B,73,180,0.259,93,0.41 
981,Garth Iorg,R,71,170,0.258,20,0.42 
982,Alan Ashby,B,74,185,0.245,90,0.40 
983,Bob Brenly,R,74,210,0.247,91,0.35 
984,Ron Blomberg,L,73,195,0.293,52,0.37 
985,Jim Rooker,R,72,195,0.201,7,0.37 
986,Tim Blackwell,B,71,170,0.228,6,0.42 
988,Jerry Morales,R,70,155,0.259,95,0.45 
989,Davey Lopes,R,69,170,0.263,155,0.41 
990,Catfish Hunter,R,72,190,0.226,6,0.38 
991,Mario Soto,R,72,174,0.132,1,0.41 
992,Jimmy Wynn,R,70,160,0.25,291,0.44 
993,Hank Allen,R,72,190,0.241,6,0.38 
994,Jim Fregosi,R,73,190,0.265,151,0.38 
995,Pepe Frias,R,70,159,0.24,1,0.44 
996,Mike Schmidt,R,74,195,0.267,548,0.38 
997,Willie Montanez,L,72,170,0.275,139,0.42 
998,Rey Quinones,R,71,160,0.243,29,0.44 
999,Mike Squires,L,71,185,0.26,6,0.38 
1000,Champ Summers,L,74,205,0.255,54,0.36 
1002,Bert Campaneris,R,70,160,0.259,79,0.44 
1003,Bobby Valentine,R,70,189,0.26,12,0.37 
1004,Rob Andrews,R,72,185,0.251,3,0.39 
1005,Tom Haller,L,76,195,0.257,134,0.39 
1007,Ed Stroud,L,71,180,0.237,14,0.39 
1008,Ron Swoboda,R,74,195,0.242,73,0.38 
1009,Harry Spilman,L,73,180,0.237,18,0.41 
1010,Bob Barton,R,72,175,0.226,9,0.41 
1011,Daryl Sconiers,L,74,185,0.265,15,0.40 
1012,Joe Torre,R,74,212,0.297,252,0.35 
1013,Al Ferrara,R,73,200,0.259,51,0.37 
1015,Sixto Lezcano,R,70,165,0.271,148,0.42 
1017,Dave Nicholson,R,74,215,0.212,61,0.34 
1018,Freddie Patek,R,65,148,0.242,41,0.44 
1019,Ken Hubbs,R,74,175,0.247,14,0.42 
1020,Pepe Mangual,R,70,157,0.242,16,0.45 
1021,Leron Lee,L,72,196,0.25,31,0.37 
1023,Steve Ontiveros,B,72,185,0.274,24,0.39 
1024,Willie Davis,L,74,180,0.279,182,0.41 
1025,Tom Lawless,R,71,170,0.207,2,0.42 
1026,Jerry Moses,R,75,210,0.251,25,0.36 
1027,Bobby Bonds,R,73,190,0.268,332,0.38 
1028,Dave McNally,R,71,185,0.133,9,0.38 
1029,Darrell Brown,B,72,184,0.274,1,0.39 
1030,Roy Foster,R,72,185,0.253,45,0.39 
1031,Denis Menke,R,72,185,0.25,101,0.39 
1032,Hal Breeden,R,74,200,0.243,21,0.37 
1033,Manny Trillo,R,73,150,0.263,61,0.49 
1034,Jackie Gutierrez,R,71,175,0.237,4,0.41 
1035,Jerry Kenney,L,73,170,0.237,7,0.43 
1036,Fred Kendall,R,73,185,0.234,31,0.39 
1037,Mike Anderson,R,74,200,0.246,28,0.37 
1039,Joe Charboneau,R,74,205,0.266,29,0.36 
1040,Jimmie Schaffer,R,69,170,0.223,11,0.41 
1041,Junior Kennedy,R,71,175,0.248,4,0.41 
1042,Wilbur Howard,B,74,170,0.25,6,0.44 
1043,Rod Gilbreath,R,74,180,0.248,14,0.41 
1044,Mark Brouhard,R,73,210,0.259,25,0.35 
1046,Mike Young,B,74,195,0.247,72,0.38 
1047,Chris Speier,R,73,175,0.246,112,0.42 
1048,Gene Michael,B,74,183,0.229,15,0.40 
1049,Vic Harris,B,71,165,0.217,13,0.43 
1050,Mike Fischlin,R,73,165,0.22,3,0.44 
1051,Don Money,R,73,170,0.261,176,0.43 
1052,Joe Rudi,R,74,200,0.264,179,0.37 
1053,Jim Rice,R,74,200,0.298,382,0.37 
1056,Gil Garrido,R,69,150,0.237,1,0.46 
1057,Marty Perez,R,71,160,0.246,22,0.44 
1058,Tom Matchick,L,73,173,0.215,4,0.42 
1059,Jack Perconte,L,70,160,0.27,2,0.44 
1060,Ed Kirkpatrick,L,71,195,0.238,85,0.36 
1061,Jerry Grote,R,70,185,0.252,39,0.38 
1062,Ellie Hendricks,L,73,175,0.22,62,0.42 
1063,Jim Beauchamp,R,74,190,0.231,14,0.39 
1065,Tito Fuentes,B,71,175,0.268,45,0.41 
1066,Ron Brand,R,67,167,0.239,3,0.40 
1067,Leo Cardenas,R,71,150,0.257,118,0.47 
1068,Art Shamsky,L,73,168,0.253,68,0.43 
1070,Ron Cey,R,70,185,0.261,316,0.38 
1071,Skip Jutze,R,71,190,0.215,3,0.37 
1072,Butch Wynegar,B,73,190,0.255,65,0.38 
1073,Ron LeFlore,R,72,200,0.288,59,0.36 
1074,Bill Russell,R,72,175,0.263,46,0.41 
1075,Gene Tenace,R,72,190,0.241,201,0.38 
1076,Bubba Morton,R,70,175,0.267,14,0.40 
1077,Ellie Rodriguez,R,71,185,0.245,16,0.38 
1078,Darrel Chaney,B,74,188,0.217,14,0.39 
1079,Dick Nen,L,74,200,0.224,21,0.37 
1081,Bill Freehan,R,75,203,0.262,200,0.37 
1082,Steve Nicosia,R,70,185,0.248,11,0.38 
1083,Ted Savage,R,73,185,0.233,34,0.39 
1084,Pete Mackanin,R,74,190,0.226,30,0.39 
1085,Rich Dauer,R,72,180,0.257,43,0.40 
1087,Rowland Office,L,72,170,0.259,32,0.42 
1088,Rick Leach,L,73,180,0.268,18,0.41 
1089,Dwayne Murphy,L,73,185,0.246,166,0.39 
1090,Larry Harlow,L,74,185,0.248,12,0.40 
1091,Mike Epstein,L,75,230,0.244,130,0.33 
1092,Jerry Mumphrey,B,74,185,0.289,70,0.40 
1094,Glenn Beckert,R,73,190,0.283,22,0.38 
1095,Ron Davis,R,72,175,0.233,10,0.41 
1096,Mike Shannon,R,75,195,0.255,68,0.38 
1097,Jason Thompson,L,76,200,0.261,208,0.38 
1098,Wayne Tolleson,B,69,160,0.241,9,0.43 
1101,Mike Jorgensen,L,72,195,0.243,95,0.37 
1102,Ed Romero,R,71,160,0.247,8,0.44 
1103,Rick Joseph,R,73,192,0.243,13,0.38 
1104,Cecil Cooper,L,74,165,0.298,241,0.45 
1105,Bill Almon,R,75,180,0.254,36,0.42 
1106,Joe Ferguson,R,74,200,0.24,122,0.37 
1108,Jerry Terrell,R,71,165,0.253,4,0.43 
1110,Dave Revering,L,76,210,0.265,62,0.36 
1111,Curt Ford,L,70,150,0.245,7,0.47 
1112,Jerry Dybzinski,R,74,180,0.234,3,0.41 
1114,Bob Burda,L,71,174,0.224,13,0.41 
1115,Jesse Gonder,L,70,180,0.251,26,0.39 
1116,Gary Sutherland,R,72,185,0.243,24,0.39 
1117,Bob Coluccio,R,71,183,0.22,26,0.39 
1118,Dave Rader,L,71,165,0.257,30,0.43 
1119,Ron Gardenhire,R,72,175,0.232,4,0.41 
1120,Bill Sharp,L,70,178,0.255,9,0.39 
1121,Alan Bannister,R,71,170,0.27,19,0.42 
1122,Bob Watson,R,72,201,0.295,184,0.36 
1123,Ken Harrelson,R,74,190,0.239,131,0.39 
1124,Bobby Wine,R,73,187,0.215,30,0.39 
1126,John Kennedy,R,72,185,0.225,32,0.39 
1127,Chico Ruiz,B,72,169,0.24,2,0.43 
1129,Gail Hopkins,L,70,198,0.266,25,0.35 
1130,Doug Frobel,L,76,196,0.201,20,0.39 
1131,Luis Melendez,R,72,165,0.248,9,0.44 
1133,Bill Plummer,R,73,190,0.188,14,0.38 
1134,Buck Rodgers,B,74,190,0.232,31,0.39 
1135,Phil Niekro,R,73,180,0.169,7,0.41 
1137,Tom Poquette,L,70,175,0.268,10,0.40 
1139,Brian Asselstine,L,73,175,0.254,12,0.42 
1140,Rick Miller,L,72,175,0.269,28,0.41 
1141,Ed Charles,R,70,170,0.263,86,0.41 
1145,Floyd Rayford,R,70,190,0.244,38,0.37 
1147,Tony Conigliaro,R,75,185,0.264,166,0.41 
1149,Jim Barr,R,75,205,0.162,1,0.37 
1150,Jerry Remy,L,69,165,0.275,7,0.42 
1152,Frank Duffy,R,73,180,0.232,26,0.41 
1154,Tom O'Malley,L,72,180,0.256,13,0.40 
1155,Phil Garner,R,70,175,0.26,109,0.40 
